,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
903,top,fruit,,row,537fbdaad31907d16d00120f,3238_2.jpg,,top row of hanging bnananas,,,,C,32373_2.jpg,False,3238,2,top left,trees in top left,trees in center top left corner,row or pic in top left,row or pic in center top left corner,row:pic,a1
906,middle,jewelry,,necklace,537fbdfbd31907d16d001270,3243_4.jpg,,necklaces on woman in middle,,,,C,3238_2.jpg,False,3243,4,in front,guy in front right,white shirt guy in front right,flower or boat in front right,white flower or boat guy in front right,flower:boat,a3
909,,woman,,number,537fe299d31907d16d00290b,32441_3.jpg,,number 2 girl,,,,C,3243_4.jpg,False,32441,3,in middle,guy in middle person,dark blue shirt guy in middle,dude or lady in middle person,dark blue dude or lady guy in middle,dude:lady,a1
912,,woman,,person,537fbf88d31907d16d001429,3244_3.jpg,leftest,person with blue drums right of leftest person,prep_with,right,,C,32441_3.jpg,False,3244,3,on left,woman on left side,woman in red jacket on left,jacket or lady on left side,jacket or lady in red jacket on left,jacket:lady,a1
915,right,lake,,lake,537fc742d31907d16d001d04,32614_1.jpg,,lake on right,,,,C,3244_3.jpg,False,32614,1,bottom right,water on right corner,water on far right corner bottom,island or land on right corner,island or land on far right corner bottom,island:land,a1
918,middle,man,,guy,537fe109d31907d16d0027ee,32802_1.jpg,,the guy in the blue shirt in middle,,,,C,32614_1.jpg,False,32802,1,in middle,guy in middle person,white shirt guy in red jacket,chair or girl in middle person,white chair or girl guy in red jacket,chair:girl,a2
921,,trash,,trash,537fe1e6d31907d16d002881,32829_1.jpg,,trash can front,,,,C,32802_1.jpg,False,32829,1,lower right,flower pot on right,green bush flower pot on right,wood or pillar pot on right,green wood or pillar flower pot on right,wood:pillar,a1
924,,building,,skyscraper,537fbce3d31907d16d00113e,32863_3.jpg,,skyscraper middle the bigger one left side,,,,C,32829_1.jpg,False,32863,3,bottom left,brick building on left,big tall building on bottom left,bldg or doorway building on left,big tall bldg or doorway on bottom left,bldg:doorway,a2
927,,motorcycle,,bike,537fbe7fd31907d16d001305,3290_8.jpg,,bike to the far left,,,,C,32863_3.jpg,False,3290,8,on left,person on left side,person in red shirt on left,dude or chairs on left side,dude or chairs in red shirt on left,dude:chairs,a2
930,left,house,,house,537fc724d31907d16d001ceb,3298_2.jpg,,house on left,,,,C,3290_8.jpg,False,3298,2,bottom left,building on left corner,white building on bottom left corner,house or windows on left corner,white house or windows on bottom left corner,house:windows,a2
933,,building,,building,537fc62cd31907d16d001be3,3362_2.jpg,,tall building on the left part of the skyline,prep_on,part,tall,C,3298_2.jpg,False,3362,2,on left,window on left side,window on left side in middle,column or stairs on left side,column or stairs on left side in middle,column:stairs,a1
936,,vegetable,,box,537fc8e4d31907d16d001e7b,3482_1.jpg,,box of fruit bottom left,,,,C,3362_2.jpg,False,3482,1,bottom left,very bottom left corner,yellow thing on bottom left corner,very bottom left corner,yellow thing on bottom left corner,hut:fruit,a2
939,right,umbrella,,umbrella,537fe22ad31907d16d0028b7,35649_10.jpg,,right umbrella,,,,C,3482_1.jpg,False,35649,10,in middle,orange thing in middle,car in red thing on right,umbrella or can thing in middle,umbrella or can in red thing on right,umbrella:can,a2
942,,trees,,tree,537fb663d31907d16d00097c,35675_4.jpg,,trees left,,,,C,35649_10.jpg,False,35675,4,on left,tree on far left,tree leaves on far left side,bush or light on far left,bush or light leaves on far left side,bush:light,a2
945,,car,,van,537fb477d31907d16d00073f,35683_10.jpg,,van left,,,,C,35675_4.jpg,False,35683,10,on left,car on far left,white car on far left side,van or vehicle on far left,white van or vehicle on far left side,van:vehicle,a2
948,right,car,,truck,537fdea9d31907d16d002675,35683_8.jpg,,right truck,,,,C,35683_10.jpg,False,35683,8,bottom right,steps on right side,dark brown tan van on right,vehicle or van on right side,dark brown tan vehicle or van on right,vehicle:van,a1
951,,flag,,flag,53838bb1ffd52689140007b2,35736_10.jpg,actual,flag all the way to the left...actual flag not the pole,,,,C,35683_8.jpg,False,35736,10,far left,light pole on left,lady in red shirt on left,curtain or pole pole on left,curtain or pole in red shirt on left,curtain:pole,a2
954,,building,,building,537fde7bd31907d16d002656,35815_1.jpg,,The building with the clock on it,prep_with,clock,,C,35736_10.jpg,False,35815,1,in middle,building thing in middle,building in white thing on right,vehicle or clock thing in middle,vehicle or clock in white thing on right,vehicle:clock,a2
957,right,house,,building,537fbdf0d31907d16d001264,35945_1.jpg,,building on right behind guys,prep_behind,guy,,C,35815_1.jpg,False,35945,1,on right,building on far right,white building on far right side,building or house on far right,white building or house on far right side,building:house,a1
960,,car,,car,537fc637d31907d16d001bf6,35993_2.jpg,,car facing us,,,,C,35945_1.jpg,False,35993,2,bottom left,lady in front left,lady in front bottom left corner,lady or table in front left,lady or table in front bottom left corner,lady:table,a2
963,,monkey,,monkey,537fb5b3d31907d16d0008ca,3681_1.jpg,,monkey on the mirror,prep_on,mirror,,C,35993_2.jpg,False,3681,1,on left,girls face on left,girls face on left in front,girls or face face on left,girls or face face on left in front,girls:face,a2
966,,tree,,tree,537fbf2bd31907d16d0013ba,37079_4.jpg,,tree foreground,,,,C,3681_1.jpg,False,37079,4,on right,tree on right side,trees on right tree in middle,shrub or light on right side,shrub or light on right tree in middle,shrub:light,a1
969,,man,,person,537fb584d31907d16d00088b,37231_1.jpg,,left person,,,,C,37079_4.jpg,False,37231,1,bottom left,person on left corner,person in blue wall on left,bricks or wall on left corner,bricks or wall in blue wall on left,bricks:wall,a1
972,,car,,,53838b64ffd5268914000751,37248_1.jpg,,bottom,,,,C,37231_1.jpg,False,37248,1,bottom left,car in middle guys,white van in middle red car,car or vehicle in middle guys,white car or vehicle in middle red car,car:vehicle,a2
975,,man,,man,537fc784d31907d16d001d54,37271_4.jpg,,a man standing in front of a building with snow around,,,,C,37248_1.jpg,False,37271,4,bottom right,person in front right,person in black shirt on right,sweater or boy in front right,sweater or boy in black shirt on right,sweater:boy,a1
978,left,tree,,tree,537fc887d31907d16d001e42,37282_3.jpg,,farthest left tree,,,,C,37271_4.jpg,False,37282,3,top left,tree on left corner,brick wall on far left corner,leaves or wood on left corner,leaves or wood wall on far left corner,leaves:wood,a1
981,middle,car,,car,537fc641d31907d16d001c01,37297_1.jpg,,middle car,,,,C,37282_3.jpg,False,37297,1,in middle,guy in front center,white van in middle red car,car or vehicle in front center,white car or vehicle in middle red car,car:vehicle,a1
984,right,tree,,tree,537fb64ed31907d16d00096c,37308_2.jpg,,Tall tree on far right,,,tall,C,37297_1.jpg,False,37308,2,far right,tree on far right,tree trunk on far right side,way or row on far right,way or row trunk on far right side,way:row,a1
987,left,whale,,whale,537fbf49d31907d16d0013de,37447_3.jpg,,whale on left,,,,C,37308_2.jpg,False,37447,3,top left,table thing on left,woman in black thing on left,animal or table thing on left,animal or table in black thing on left,animal:table,a1
990,left,whale,,whale,537fb68ad31907d16d0009a2,37448_2.jpg,,whale on left,,,,C,37447_3.jpg,False,37448,2,top left,lady in middle left,lady in white hat on left,lady or leaves in middle left,lady or leaves in white hat on left,lady:leaves,a2
993,left,man,,guy,537fbe26d31907d16d0012a3,37467_3.jpg,,left most guy,,,,C,37448_2.jpg,False,37467,3,far left,person on far left,blue shirt guy on far left,boy or kids on far left,blue boy or kids guy on far left,boy:kids,a1
996,,man,red,shirt,537fbe37d31907d16d0012ba,37478_5.jpg,,red shirt,,,,C,37467_3.jpg,False,37478,5,far left,guy in orange shirt,guy in red shirt on left,lady or dude in orange shirt,lady or dude in red shirt on left,lady:dude,a1
999,,man,red,biker,53838af3ffd52689140006b4,37496_5.jpg,,red biker,,,,C,37478_5.jpg,False,37496,5,on left,guy on left side,man in red guy on left,bike or heads on left side,bike or heads in red guy on left,bike:heads,a3
1002,right,man,,douchebag,537fc78ad31907d16d001d5a,37570_1.jpg,,douchebag on right,,,,C,37496_5.jpg,False,37570,1,right corner,guy on right corner,blue shirt guy on right corner,boy or face on right corner,blue boy or face guy on right corner,boy:face,a1
1005,,trees,,tree,537fb66bd31907d16d000987,37652_6.jpg,,trees on far left below clouds,,,,C,37570_1.jpg,False,37652,6,far left,tree on far left,tree on far left side trees,ice or llama on far left,ice or llama on far left side trees,ice:llama,a1
1008,,man,,,537fc783d31907d16d001d51,37887_4.jpg,,right red,,,,C,37652_6.jpg,False,37887,4,far right,guy on far right,guy in red shirt on right,dude or way on far right,dude or way in red shirt on right,dude:way,a2
1011,right,building,brown,bulding,537fde3cd31907d16d002632,37920_2.jpg,,brown bulding on right,,,,C,37887_4.jpg,False,37920,2,on right,building on right corner,tall building on right tree trunk,building or railing on right corner,tall building or railing on right tree trunk,building:railing,a3
1014,,building,,building,53838b9bffd5268914000796,37920_7.jpg,,glassy panel building by flag,,,,C,37920_2.jpg,False,37920,7,bottom right,wood floor bottom right,white building on right in middle,flag or sun floor bottom right,white flag or sun on right in middle,flag:sun,a2
1017,top,building,,building,53838b0cffd52689140006d4,37926_4.jpg,,top half of building,,,,C,37920_7.jpg,False,37926,4,top left,building in front center,big tall building in front center,girls or building in front center,big tall girls or building in front center,girls:building,a1
1020,,building,,flag,537fc36ed31907d16d0018ae,37932_5.jpg,,us flag,,,,C,37926_4.jpg,False,37932,5,on right,guy in middle flag,guy in middle flag on right,sign or balcony in middle flag,sign or balcony in middle flag on right,sign:balcony,a1
1023,,building,white,building,537fbcf6d31907d16d001157,37954_6.jpg,,white building to the left,,,,C,37932_5.jpg,False,37954,6,top left,wall on left corner,wall on very top left corner,bldg or wall on left corner,bldg or wall on very top left corner,bldg:wall,a2
1026,,building,,building,537fbcfcd31907d16d00115d,37968_3.jpg,,center building,,,,C,37954_6.jpg,False,37968,3,in middle,woman in middle building,woman in middle building on right,building or stand in middle building,building or stand in middle building on right,building:stand,a1
1029,middle,building,,building,537fbce9d31907d16d00114a,37969_2.jpg,,middle building,,,,C,37968_3.jpg,False,37969,2,on left,wood thing on left,woman in middle building on left,car or hat thing on left,car or hat in middle building on left,car:hat,a2
1032,left,building,brown,building,537fde54d31907d16d00263e,38037_3.jpg,,brown building on left,,,,C,37969_2.jpg,False,38037,3,bottom left,building on left side,green area on left side wall,house or wall on left side,green house or wall on left side wall,house:wall,a2
1035,middle,building,,building,537fb443d31907d16d000709,38135_3.jpg,spikey,spikey building in the middle,,,,C,38037_3.jpg,False,38135,3,lower right,girl in middle building,girl in middle building on right,building or bldg in middle building,building or bldg in middle building on right,building:bldg,a1
1038,second,building,,building,537fc620d31907d16d001bd7,38141_3.jpg,,2nd building from right,prep_from,right,,C,38135_3.jpg,False,38141,3,top right,building on right side,big tall building on right side,stairs or pillar on right side,big tall stairs or pillar on right side,stairs:pillar,a1
1041,,man,,guy,53838b24ffd52689140006f6,38857_2.jpg,,guy in middle white shirt,prep_in,shirt,,C,38141_3.jpg,False,38857,2,in middle,guy in middle left,guy in red jacket on left,jacket or boy in middle left,jacket or boy in red jacket on left,jacket:boy,a1
1044,top,trees,,corner,537fbf2dd31907d16d0013bd,39117_6.jpg,,top right corner,,,,C,38857_2.jpg,False,39117,6,top right,palm tree on right,big palm tree trunk on right,trunk or tree tree on right,big trunk or tree tree trunk on right,trunk:tree,a2
1047,,building,,building,537fbcf0d31907d16d001150,3918_11.jpg,,yangs building,,,,C,39117_6.jpg,False,3918,11,far left,building on far left,yellow building on far left side,sign or frame on far left,yellow sign or frame on far left side,sign:frame,a1
1050,right,tree,,tree,537fc88ed31907d16d001e47,39343_7.jpg,,tree on right,,,,C,3918_11.jpg,False,39343,7,top right,tree on right side,tree trunk on far right side,tree or light on right side,tree or light trunk on far right side,tree:light,a1
1053,closest,building,dark,skyscraper,537fde74d31907d16d002652,39357_4.jpg,,dark skyscraper closest to us in the middle-the white bldg is rt behind it,,,,C,39343_7.jpg,False,39357,4,bottom right,building in front right,tall building on right in middle,bldg or windows in front right,tall bldg or windows on right in middle,bldg:windows,a3
1056,left,car,,car,537fc63dd31907d16d001bfc,39397_4.jpg,,left car,,,,C,39357_4.jpg,False,39397,4,on left,leftmost car on left,yellow car on left in blue,leftmost car or bench on left,yellow car or bench on left in blue,car:bench,a1
1059,right,car,,car,537fc648d31907d16d001c10,39397_5.jpg,,right car lol,,,,C,39397_4.jpg,False,39397,5,on right,car on far right,kid in black car on right,car or stand on far right,car or stand in black car on right,car:stand,a1
1062,middle,window,,window,537fb6b1d31907d16d0009cd,39486_4.jpg,,window on 2nd story middle,,,,C,39397_5.jpg,False,39486,4,top left,window on left side,window on left side wood wall,window or door on left side,window or door on left side wood wall,window:door,a3
1065,left,building,,building,537fde24d31907d16d002623,39681_3.jpg,,left building,,,,C,39486_4.jpg,False,39681,3,top left,building on left side,tall building on far left side,bldg or tower on left side,tall bldg or tower on far left side,bldg:tower,a2
1068,right,fruit,,fruit,537fbdb3d31907d16d001215,3977_3.jpg,,fruits above pineapples on right,prep_above,pineapple,,C,39681_3.jpg,False,3977,3,top right,tree in background mountains,tree in background trees on right,chairs or plant in background mountains,chairs or plant in background trees on right,chairs:plant,a2
1071,left,owl,,owl,537fbe97d31907d16d00131b,39844_2.jpg,,Owl on left,,,,C,3977_3.jpg,False,39844,2,in middle,man in middle person,man in middle person on left,llama or girl in middle person,llama or girl in middle person on left,llama:girl,a1
1074,left,rodent,,animal,537fc85fd31907d16d001e1e,39858_2.jpg,,left animal,,,,C,39844_2.jpg,False,39858,2,in middle,mans head in middle,kid in front tire on right,mans or kid head in middle,mans or kid in front tire on right,mans:kid,a1
